# No. res, res sizes (min), (max), echo values (min), (max), spectral values (min), (max), weightin (min), (max), dimsrec (min), (max), epochs, reg., NRMSE (mean), (std)
8,300,300,0.850,0.100,0.400,1.200,1.000,0.500,60.000,60.000,2,1.00e-02,0.7919,3.367461e-01
8,300,300,0.850,0.100,0.400,1.200,1.000,0.500,60.000,60.000,4,1.00e-02,0.7857,6.659013e-02
8,300,300,0.850,0.100,0.400,1.200,1.000,0.500,60.000,60.000,2,1.00e-06,0.7482,9.946222e-02
8,300,300,0.850,0.100,0.400,1.200,1.000,0.500,60.000,60.000,4,1.00e-06,0.8087,1.492800e-01
8,300,300,0.850,0.100,0.400,1.200,1.000,0.500,100.000,10.000,2,1.00e-02,0.9708,1.443545e-01
8,300,300,0.850,0.100,0.400,1.200,1.000,0.500,100.000,10.000,4,1.00e-02,0.9351,3.720659e-01
8,300,300,0.850,0.100,0.400,1.200,1.000,0.500,100.000,10.000,2,1.00e-06,0.7436,9.357590e-02
8,300,300,0.850,0.100,0.400,1.200,1.000,0.500,100.000,10.000,4,1.00e-06,0.8358,1.721348e-01
8,300,300,0.850,0.100,0.400,1.200,1.000,0.500,10.000,100.000,2,1.00e-02,0.7888,3.094575e-01
8,300,300,0.850,0.100,0.400,1.200,1.000,0.500,10.000,100.000,4,1.00e-02,0.7707,1.913357e-01
8,300,300,0.850,0.100,0.400,1.200,1.000,0.500,10.000,100.000,2,1.00e-06,0.6471,3.106714e-01
8,300,300,0.850,0.100,0.400,1.200,1.000,0.500,10.000,100.000,4,1.00e-06,0.7807,2.810992e-01
8,300,300,0.850,0.100,1.200,0.400,1.000,0.500,60.000,60.000,2,1.00e-02,0.8374,9.694942e-02
8,300,300,0.850,0.100,1.200,0.400,1.000,0.500,60.000,60.000,4,1.00e-02,0.7866,1.787953e-01
8,300,300,0.850,0.100,1.200,0.400,1.000,0.500,60.000,60.000,2,1.00e-06,0.9539,3.493872e-01
8,300,300,0.850,0.100,1.200,0.400,1.000,0.500,60.000,60.000,4,1.00e-06,0.6413,3.398796e-02
8,300,300,0.850,0.100,1.200,0.400,1.000,0.500,100.000,10.000,2,1.00e-02,0.7162,7.003775e-02
8,300,300,0.850,0.100,1.200,0.400,1.000,0.500,100.000,10.000,4,1.00e-02,0.7239,2.309246e-01
8,300,300,0.850,0.100,1.200,0.400,1.000,0.500,100.000,10.000,2,1.00e-06,0.6240,2.109975e-01
8,300,300,0.850,0.100,1.200,0.400,1.000,0.500,100.000,10.000,4,1.00e-06,0.8131,2.983782e-01
8,300,300,0.850,0.100,1.200,0.400,1.000,0.500,10.000,100.000,2,1.00e-02,0.5498,8.813788e-02
8,300,300,0.850,0.100,1.200,0.400,1.000,0.500,10.000,100.000,4,1.00e-02,0.6183,1.554045e-01
8,300,300,0.850,0.100,1.200,0.400,1.000,0.500,10.000,100.000,2,1.00e-06,0.7186,9.373470e-02
8,300,300,0.850,0.100,1.200,0.400,1.000,0.500,10.000,100.000,4,1.00e-06,1.0238,2.102745e-01
8,300,300,0.850,0.100,0.300,0.900,1.000,0.500,60.000,60.000,2,1.00e-02,0.7153,6.082273e-02
