1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
1.012565740803268666e+00,1.259920005698417000e+00,9.848910446848750944e-01
1.048821457959200787e+00,1.524000838889203013e+00,9.731143416309520067e-01
1.107206299034455110e+00,1.798314577764875244e+00,9.651591023109136191e-01
1.186865484233381007e+00,2.088545535278148346e+00,9.617373815250432889e-01
1.287554801109039637e+00,2.400160398825754715e+00,9.638062240116623824e-01
1.409568801276330330e+00,2.738552104480118210e+00,9.726082787069022517e-01
1.553688787051108688e+00,3.109160997057680564e+00,9.897311952182213934e-01
1.721145788631943674e+00,3.517577131881351793e+00,1.017186564661876735e+00
1.913596387776967944e+00,3.969623487737062639e+00,1.057511871629279288e+00
2.133107588441129465e+00,4.471420132075418330e+00,1.113898922913187040e+00
2.382148245051713520e+00,5.029425676116036747e+00,1.190353748321868022e+00
2.663583924375628076e+00,5.650450156242692756e+00,1.291893575592037768e+00
2.980671708057050839e+00,6.341629528433108121e+00,1.424787064931804181e+00
3.337050661162180631e+00,7.110347470635410616e+00,1.596843711417898160e+00
3.736722419366401926e+00,7.964083984177494635e+00,1.817757199055728190e+00
4.184014532281594256e+00,8.910162442454641507e+00,2.099504366850126758e+00
4.683516900173492203e+00,9.955357767383731016e+00,2.456795352353653872e+00
5.239978269094788033e+00,1.110531666163755204e+01,2.907559650688417818e+00
5.858145943394749366e+00,1.236372980508155450e+01,3.473434871750949782e+00
6.542527119625126453e+00,1.373118577955437480e+01,4.180196874705324639e+00
7.297045585704485582e+00,1.520363302764171820e+01,5.058028872464849890e+00
8.124562994783413927e+00,1.677038617950095301e+01,6.141468355410490076e+00
9.026232703374844846e+00,1.841165163823696460e+01,7.468796951082354418e+00
1.000065823595483927e+01,2.009563130998126823e+01,9.080552876500645354e+00
1.104284359768990598e+01,2.177541651835259628e+01,1.101677156434129401e+01
1.214295494820075483e+01,2.338612822559867510e+01,1.331253389069043536e+01
1.328497042086221569e+01,2.484309597371257894e+01,1.599149937012835920e+01
1.444538149216143275e+01,2.604225169608039181e+01,1.905741748400432911e+01
1.559222160485691155e+01,2.686421273663761156e+01,2.248424355678060849e+01
1.668481401999782321e+01,2.718349319355764138e+01,2.620646002254910911e+01
1.767470325697100364e+01,2.688358302864801530e+01,3.011235118875439909e+01
1.850818995383904664e+01,2.587701489263502808e+01,3.404382226482707807e+01
1.913065236164701943e+01,2.412711546364227289e+01,3.780613210940020252e+01
1.949238388334028471e+01,2.166572808348204049e+01,4.118890705671391572e+01
1.955509395661962557e+01,1.860022297436031735e+01,4.399603553395341748e+01
1.929772860942908608e+01,1.510497594380511188e+01,4.607776490398667590e+01
